vertex,group_id,degree,beteweeness,from,to
,,,,Book,Social media
,,,,Book,Science
,,,,Book,Psychology
,,,,Book,Personal growth
,,,,Book,Open-source
,,,,Book,Medicine
,,,,Book,Media
,,,,Book,Marketing
,,,,Book,MacArthur grant
,,,,Book,Life
,,,,Book,Invention
,,,,Book,Internet
,,,,Book,Innovation
,,,,Book,Identity
,,,,Book,Humor
,,,,Book,Happiness
,,,,Book,Global issues
,,,,Book,Future
,,,,Book,Film
,,,,Book,Entertainment
,,,,Book,Engineering
,,,,Book,Education
,,,,Book,Disability
,,,,Book,Design
,,,,Book,Culture
,,,,Book,Creativity
,,,,Book,Consumerism
,,,,Book,Computers
,,,,Book,Community
,,,,Book,Communication
,,,,Book,Cities
,,,,Book,Children
,,,,Book,Business
,,,,Book,Brain
,,,,Music,Book
,,,,Book,Music
,,,,Book,Arts
,,,,Arts,Book
,,,,Poetry,Book
,,,,Book,Poetry
,,,,Relationships,Book
,,,,Book,Relationships
,,,,Book,Art
,,,,Art,Book
,,,,Book,Architecture
,,,,Architecture,Book
,,,,Book,Africa
,,,,Africa,Book
,,,,Book,Ancient world
,,,,Ancient world,Book
,,,,Museums,Book
,,,,Book,Museums
,,,,Water,Museums
,,,,Visualizations,Museums
,,,,TEDx,Museums
,,,,Philanthropy,Museums
,,,,Open-source,Museums
,,,,Museums,Water
,,,,Museums,Visualizations
,,,,Museums,TEDx
,,,,Museums,Philanthropy
,,,,Museums,Open-source
,,,,Museums,Library
,,,,Museums,Internet
,,,,Museums,History
,,,,Museums,Gaming
,,,,Museums,Design
,,,,Museums,Culture
,,,,Museums,Creativity
,,,,Museums,Collaboration
,,,,Museums,Cities
,,,,Museums,Brain
,,,,Museums,Arts
,,,,Museums,Art
,,,,Museums,Architecture
,,,,Museums,Ancient world
,,,,Library,Museums
,,,,Internet,Museums
,,,,History,Museums
,,,,Gaming,Museums
,,,,Design,Museums
,,,,Culture,Museums
,,,,Creativity,Museums
,,,,Collaboration,Museums
,,,,Cities,Museums
,,,,Brain,Museums
,,,,Arts,Museums
,,,,Art,Museums
,,,,Architecture,Museums
,,,,Ancient world,Museums
,,,,Wind energy,TEDx
,,,,Wind energy,Technology
,,,,Wind energy,Sustainability
,,,,Wind energy,Science
,,,,Wind energy,Politics
,,,,Wind energy,Math
,,,,Wind energy,Law
,,,,Wind energy,Green
,,,,Wind energy,Global issues
,,,,Wind energy,Future
,,,,Wind energy,Environment
,,,,Wind energy,Engineering
,,,,Wind energy,Energy
,,,,Wind energy,Economics
,,,,Wind energy,Data
,,,,Wind energy,Climate change
,,,,TEDx,Wind energy
,,,,Technology,Wind energy
,,,,Sustainability,Wind energy
,,,,Science,Wind energy
,,,,Politics,Wind energy
,,,,Math,Wind energy
,,,,Law,Wind energy
,,,,Green,Wind energy
,,,,Global issues,Wind energy
,,,,Future,Wind energy
,,,,Environment,Wind energy
,,,,Engineering,Wind energy
,,,,Energy,Wind energy
,,,,Economics,Wind energy
,,,,Data,Wind energy
,,,,Climate change,Wind energy
,,,,Wind energy,Solar energy
,,,,Solar energy,Wind energy
,,,,Wind energy,Nuclear weapons
,,,,Nuclear weapons,Wind energy
,,,,Wind energy,Alternative energy
,,,,Alternative energy,Wind energy
,,,,Virus,TEDx
,,,,Virus,Technology
,,,,Virus,Science
,,,,Virus,Nature
,,,,Virus,Medicine
,,,,Virus,Internet
,,,,Virus,Global issues
,,,,Virus,Genetics
,,,,Virus,Evolution
,,,,Virus,DNA
,,,,Virus,Crime
,,,,Virus,Computers
,,,,Virus,Biology
,,,,TEDx,Virus
,,,,Technology,Virus
,,,,Science,Virus
,,,,Nature,Virus
,,,,Medicine,Virus
,,,,Internet,Virus
,,,,Global issues,Virus
,,,,Genetics,Virus
,,,,Evolution,Virus
,,,,DNA,Virus
,,,,Crime,Virus
,,,,Computers,Virus
,,,,Biology,Virus
,,,,Virus,Alternative energy
,,,,Alternative energy,Virus
,,,,TEDx,Simplicity
,,,,Technology,Simplicity
,,,,Software,Simplicity
,,,,Simplicity,TEDx
,,,,Simplicity,Technology
,,,,Simplicity,Software
,,,,Simplicity,Science
,,,,Simplicity,Politics
,,,,Simplicity,Physics
,,,,Simplicity,Performance
,,,,Simplicity,Motivation
,,,,Simplicity,Media
,,,,Simplicity,Math
,,,,Simplicity,MacArthur grant
,,,,Simplicity,Law
,,,,Simplicity,Invention
,,,,Simplicity,Humor
,,,,Simplicity,History
,,,,Simplicity,Happiness
,,,,Simplicity,Hack
,,,,Simplicity,Green
,,,,Simplicity,Global issues
,,,,Simplicity,Entertainment
,,,,Simplicity,Engineering
,,,,Simplicity,Economics
,,,,Simplicity,Design
,,,,Simplicity,Culture
,,,,Simplicity,Creativity
,,,,Simplicity,Consumerism
,,,,Simplicity,Computers
,,,,Simplicity,Complexity
,,,,Simplicity,Business
,,,,Simplicity,Biology
,,,,Science,Simplicity
,,,,Politics,Simplicity
,,,,Physics,Simplicity
,,,,Performance,Simplicity
,,,,Motivation,Simplicity
,,,,Media,Simplicity
,,,,Math,Simplicity
,,,,MacArthur grant,Simplicity
,,,,Law,Simplicity
,,,,Invention,Simplicity
,,,,Humor,Simplicity
,,,,History,Simplicity
,,,,Happiness,Simplicity
,,,,Hack,Simplicity
,,,,Green,Simplicity
,,,,Global issues,Simplicity
,,,,Entertainment,Simplicity
,,,,Engineering,Simplicity
,,,,Economics,Simplicity
,,,,Design,Simplicity
,,,,Culture,Simplicity
,,,,Creativity,Simplicity
,,,,Consumerism,Simplicity
,,,,Computers,Simplicity
,,,,Complexity,Simplicity
,,,,Business,Simplicity
,,,,Biology,Simplicity
,,,,Simplicity,Music
,,,,Music,Simplicity
,,,,Simplicity,Arts
,,,,Arts,Simplicity
,,,,TED Fellows,Simplicity
,,,,Simplicity,TED Fellows
,,,,Simplicity,Art
,,,,Art,Simplicity
,,,,Simplicity,Industrial design
,,,,Industrial design,Simplicity
,,,,Simplicity,Alternative energy
,,,,Alternative energy,Simplicity
,,,,Software,Library
,,,,Library,Software
,,,,Visualizations,Library
,,,,Library,Visualizations
,,,,Web,Library
,,,,TEDx,Library
,,,,Technology,Library
,,,,Storytelling,Library
,,,,Science,Library
,,,,Open-source,Library
,,,,Media,Library
,,,,Library,Web
,,,,Library,TEDx
,,,,Library,Technology
,,,,Library,Storytelling
,,,,Library,Science
,,,,Library,Open-source
,,,,Library,Media
,,,,Library,Invention
,,,,Library,Internet
,,,,Library,Innovation
,,,,Library,Global issues
,,,,Library,Entertainment
,,,,Library,Engineering
,,,,Library,Energy
,,,,Library,Education
,,,,Library,Design
,,,,Library,Data
,,,,Library,Culture
,,,,Library,Creativity
,,,,Library,Computers
,,,,Library,Collaboration
,,,,Library,Business
,,,,Invention,Library
,,,,Internet,Library
,,,,Innovation,Library
,,,,Global issues,Library
,,,,Entertainment,Library
,,,,Engineering,Library
,,,,Energy,Library
,,,,Education,Library
,,,,Design,Library
,,,,Data,Library
,,,,Culture,Library
,,,,Creativity,Library
,,,,Computers,Library
,,,,Collaboration,Library
,,,,Business,Library
,,,,Library,History
,,,,History,Library
,,,,Library,Entrepreneur
,,,,Entrepreneur,Library
,,,,Library,Film
,,,,Film,Library
,,,,Personal growth,Library
,,,,Library,Personal growth
,,,,Writing,Library
,,,,Library,Writing
,,,,Library,Interview
,,,,Interview,Library
,,,,Music,Library
,,,,Library,Music
,,,,Library,Arts
,,,,Arts,Library
,,,,Race,Library
,,,,Library,Race
,,,,Library,Art
,,,,Art,Library
,,,,Library,Architecture
,,,,Architecture,Library
,,,,Library,Africa
,,,,Africa,Library
,,,,Library,Ancient world
,,,,Ancient world,Library
,,,,Library,Alternative energy
,,,,Alternative energy,Library
,,,,Women,Cars
,,,,TEDx,Cars
,,,,Technology,Cars
,,,,Sustainability,Cars
,,,,Statistics,Cars
,,,,Science,Cars
,,,,Politics,Cars
,,,,Parenting,Cars
,,,,Middle East,Cars
,,,,Medicine,Cars
,,,,Invention,Cars
,,,,Innovation,Cars
,,,,Health,Cars
,,,,Green,Cars
,,,,Global issues,Cars
,,,,Environment,Cars
,,,,Engineering,Cars
,,,,Energy,Cars
,,,,Education,Cars
,,,,Design,Cars
,,,,Data,Cars
,,,,Culture,Cars
,,,,Cities,Cars
,,,,Children,Cars
,,,,Cars,Women
,,,,Cars,TEDx
,,,,Cars,Technology
,,,,Cars,Sustainability
,,,,Cars,Statistics
,,,,Cars,Science
,,,,Cars,Politics
,,,,Cars,Parenting
,,,,Cars,Middle East
,,,,Cars,Medicine
,,,,Cars,Invention
,,,,Cars,Innovation
,,,,Cars,Health
,,,,Cars,Green
,,,,Cars,Global issues
,,,,Cars,Environment
,,,,Cars,Engineering
,,,,Cars,Energy
,,,,Cars,Education
,,,,Cars,Design
,,,,Cars,Data
,,,,Cars,Culture
,,,,Cars,Cities
,,,,Cars,Children
,,,,Social change,Cars
,,,,Cars,Social change
,,,,Economics,Cars
,,,,Cars,Economics
,,,,Cars,Business
,,,,Business,Cars
,,,,Robots,Cars
,,,,Cars,Robots
,,,,Consumerism,Cars
,,,,Cars,Consumerism
,,,,Future,Cars
,,,,Cars,Future
,,,,Flight,Cars
,,,,Cars,Flight
,,,,Sports,Cars
,,,,Cars,Sports
,,,,Third world,Cars
,,,,Cars,Third world
,,,,Climate change,Cars
,,,,Cars,Climate change
,,,,Feminism,Cars
,,,,Cars,Feminism
,,,,Cars,Arts
,,,,Arts,Cars
,,,,Transportation,Cars
,,,,Cars,Transportation
,,,,Industrial design,Cars
,,,,Cars,Industrial design
,,,,Cars,Architecture
,,,,Architecture,Cars
,,,,Cars,Alternative energy
,,,,Alternative energy,Cars
,,,,Solar,Cars
,,,,Cars,Solar
,,,,Transportation,Solar
,,,,Solar,Transportation
,,,,Technology,Solar
,,,,Solar,Technology
,,,,Solar,Green
,,,,Solar,Global issues
,,,,Solar,Flight
,,,,Solar,Energy
,,,,Solar,Drones
,,,,Solar,Design
,,,,Solar,Demo
,,,,Solar,Business
,,,,Solar,Alternative energy
,,,,Green,Solar
,,,,Global issues,Solar
,,,,Flight,Solar
,,,,Energy,Solar
,,,,Drones,Solar
,,,,Design,Solar
,,,,Demo,Solar
,,,,Business,Solar
,,,,Alternative energy,Solar
,,,,Transportation,Third world
,,,,Transportation,Technology
,,,,Transportation,Sustainability
,,,,Transportation,Storytelling
,,,,Transportation,Statistics
,,,,Transportation,Space
,,,,Transportation,Social change
,,,,Transportation,Sight
,,,,Transportation,Sex
,,,,Transportation,Senses
,,,,Transportation,Science
,,,,Transportation,Robots
,,,,Transportation,Poverty
,,,,Transportation,Parenting
,,,,Transportation,Nature
,,,,Transportation,Investment
,,,,Transportation,Invention
,,,,Transportation,Innovation
,,,,Transportation,Humor
,,,,Transportation,Green
,,,,Transportation,Global issues
,,,,Transportation,Flight
,,,,Transportation,Exploration
,,,,Transportation,Evolution
,,,,Transportation,Entrepreneur
,,,,Transportation,Entertainment
,,,,Transportation,Engineering
,,,,Transportation,Energy
,,,,Transportation,Education
,,,,Transportation,Economics
,,,,Transportation,Drones
,,,,Transportation,DNA
,,,,Transportation,Development
,,,,Transportation,Design
,,,,Transportation,Demo
,,,,Transportation,Culture
,,,,Transportation,Creativity
,,,,Transportation,Consumerism
,,,,Transportation,Communication
,,,,Transportation,Collaboration
,,,,Transportation,Cities
,,,,Transportation,Business
,,,,Transportation,Biology
,,,,Transportation,Arts
,,,,Third world,Transportation
,,,,Technology,Transportation
,,,,Sustainability,Transportation
,,,,Storytelling,Transportation
,,,,Statistics,Transportation
,,,,Space,Transportation
,,,,Social change,Transportation
,,,,Sight,Transportation
,,,,Sex,Transportation
,,,,Senses,Transportation
,,,,Science,Transportation
,,,,Robots,Transportation
,,,,Poverty,Transportation
,,,,Parenting,Transportation
,,,,Nature,Transportation
,,,,Investment,Transportation
,,,,Invention,Transportation
,,,,Innovation,Transportation
,,,,Humor,Transportation
,,,,Green,Transportation
,,,,Global issues,Transportation
,,,,Flight,Transportation
,,,,Exploration,Transportation
,,,,Evolution,Transportation
,,,,Entrepreneur,Transportation
,,,,Entertainment,Transportation
,,,,Engineering,Transportation
,,,,Energy,Transportation
,,,,Education,Transportation
,,,,Economics,Transportation
,,,,Drones,Transportation
,,,,DNA,Transportation
,,,,Development,Transportation
,,,,Design,Transportation
,,,,Demo,Transportation
,,,,Culture,Transportation
,,,,Creativity,Transportation
,,,,Consumerism,Transportation
,,,,Communication,Transportation
,,,,Collaboration,Transportation
,,,,Cities,Transportation
,,,,Business,Transportation
,,,,Biology,Transportation
,,,,Arts,Transportation
,,,,Transportation,Latin America
,,,,Latin America,Transportation
,,,,Transportation,Industrial design
,,,,Industrial design,Transportation
,,,,Transportation,Brazil
,,,,Brazil,Transportation
,,,,Transportation,Architecture
,,,,Architecture,Transportation
,,,,Transportation,Animals
,,,,Animals,Transportation
,,,,Transportation,Telecom
,,,,Telecom,Transportation
,,,,Transportation,Solar energy
,,,,Solar energy,Transportation
,,,,Transportation,Alternative energy
,,,,Alternative energy,Transportation
,,,,Transportation,Microfinance
,,,,Microfinance,Transportation
,,,,Third world,Telecom
,,,,Telecom,Third world
,,,,Telecom,TEDx
,,,,Telecom,Technology
,,,,Telecom,Society
,,,,Telecom,Social media
,,,,Telecom,Science
,,,,Telecom,Poverty
,,,,Telecom,Media
,,,,Telecom,Investment
,,,,Telecom,Invention
,,,,Telecom,Innovation
,,,,Telecom,History
,,,,Telecom,Global issues
,,,,Telecom,Europe
,,,,Telecom,Development
,,,,Telecom,Design
,,,,Telecom,Data
,,,,Telecom,Culture
,,,,Telecom,Creativity
,,,,Telecom,Communication
,,,,Telecom,Cities
,,,,Telecom,Business
,,,,TEDx,Telecom
,,,,Technology,Telecom
,,,,Society,Telecom
,,,,Social media,Telecom
,,,,Science,Telecom
,,,,Poverty,Telecom
,,,,Media,Telecom
,,,,Investment,Telecom
,,,,Invention,Telecom
,,,,Innovation,Telecom
,,,,History,Telecom
,,,,Global issues,Telecom
,,,,Europe,Telecom
,,,,Development,Telecom
,,,,Design,Telecom
,,,,Data,Telecom
,,,,Culture,Telecom
,,,,Creativity,Telecom
,,,,Communication,Telecom
,,,,Cities,Telecom
,,,,Business,Telecom
,,,,Telecom,Alternative energy
,,,,Alternative energy,Telecom
,,,,Telecom,Microfinance
,,,,Microfinance,Telecom
,,,,Presentation,Investment
,,,,Investment,Presentation
,,,,Women,Investment
,,,,Technology,Investment
,,,,Sustainability,Investment
,,,,Social change,Investment
,,,,Science,Investment
,,,,Poverty,Investment
,,,,Politics,Investment
,,,,Medicine,Investment
,,,,Media,Investment
,,,,Investment,Women
,,,,Investment,Technology
,,,,Investment,Sustainability
,,,,Investment,Social change
,,,,Investment,Science
,,,,Investment,Poverty
,,,,Investment,Politics
,,,,Investment,Medicine
,,,,Investment,Media
,,,,Investment,Invention
,,,,Investment,Innovation
,,,,Investment,Health care
,,,,Investment,Green
,,,,Investment,Government
,,,,Investment,Global issues
,,,,Investment,Environment
,,,,Investment,Economics
,,,,Investment,Culture
,,,,Investment,Creativity
,,,,Investment,Communication
,,,,Investment,Business
,,,,Invention,Investment
,,,,Innovation,Investment
,,,,Health care,Investment
,,,,Green,Investment
,,,,Government,Investment
,,,,Global issues,Investment
,,,,Environment,Investment
,,,,Economics,Investment
,,,,Culture,Investment
,,,,Creativity,Investment
,,,,Communication,Investment
,,,,Business,Investment
,,,,Investment,Entrepreneur
,,,,Entrepreneur,Investment
,,,,Investment,Development
,,,,Development,Investment
,,,,Third world,Investment
,,,,Investment,Third world
,,,,Investment,Climate change
,,,,Climate change,Investment
,,,,Philanthropy,Investment
,,,,Investment,Philanthropy
,,,,Investment,Africa
,,,,Africa,Investment
,,,,Investment,Alternative energy
,,,,Alternative energy,Investment
,,,,Microfinance,Investment
,,,,Investment,Microfinance
,,,,War,Software
,,,,Visualizations,Software
,,,,TEDx,Software
,,,,Technology,Software
,,,,Storytelling,Software
,,,,Software,War
,,,,Software,Visualizations
,,,,Software,TEDx
,,,,Software,Technology
,,,,Software,Storytelling
,,,,Software,Science
,,,,Software,Politics
,,,,Software,Photography
,,,,Software,Open-source
,,,,Software,Invention
,,,,Software,Government
,,,,Software,Global issues
,,,,Software,Entertainment
,,,,Software,Engineering
,,,,Software,Design
,,,,Software,Culture
,,,,Software,Computers
,,,,Software,Comedy
,,,,Software,Collaboration
,,,,Science,Software
,,,,Politics,Software
,,,,Photography,Software
,,,,Open-source,Software
,,,,Invention,Software
,,,,Government,Software
,,,,Global issues,Software
,,,,Entertainment,Software
,,,,Engineering,Software
,,,,Design,Software
,,,,Culture,Software
,,,,Computers,Software
,,,,Comedy,Software
,,,,Collaboration,Software
,,,,Software,Demo
,,,,Demo,Software
,,,,Youth,Software
,,,,Software,Youth
,,,,Software,Parenting
,,,,Parenting,Software
,,,,Software,Math
,,,,Math,Software
,,,,Software,Children
,,,,Children,Software
,,,,Software,Cities
,,,,Cities,Software
,,,,Web,Software
,,,,Software,Web
,,,,Software,Media
,,,,Media,Software
,,,,Software,Law
,,,,Law,Software
,,,,Software,Internet
,,,,Internet,Software
,,,,Software,Community
,,,,Community,Software
,,,,Software,Communication
,,,,Communication,Software
,,,,Software,Business
,,,,Business,Software
,,,,Software,Creativity
,,,,Creativity,Software
,,,,Software,Future
,,,,Future,Software
,,,,Software,Social media
,,,,Social media,Software
,,,,Terrorism,Software
,,,,Software,Terrorism
,,,,Software,History
,,,,History,Software
,,,,Software,Brain
,,,,Brain,Software
,,,,Software,Dance
,,,,Dance,Software
,,,,Software,Psychology
,,,,Psychology,Software
,,,,Software,Happiness
,,,,Happiness,Software
,,,,Software,Performance
,,,,Performance,Software
,,,,Software,Security
,,,,Security,Software
,,,,Space,Software
,,,,Software,Space
,,,,Software,Planets
,,,,Planets,Software
,,,,Software,Exploration
,,,,Exploration,Software
,,,,Urban planning,Software
,,,,Software,Urban planning
,,,,Software,Music
,,,,Music,Software
,,,,Software,Arts
,,,,Arts,Software
,,,,Software,Poetry
,,,,Poetry,Software
,,,,Software,Art
,,,,Art,Software
,,,,Software,Architecture
,,,,Architecture,Software
,,,,Software,Algorithm
,,,,Algorithm,Software
,,,,Women,Love
,,,,TEDx,Love
,,,,Technology,Love
,,,,Storytelling,Love
,,,,Self,Love
,,,,Science,Love
,,,,Religion,Love
,,,,Politics,Love
,,,,Parenting,Love
,,,,Love,Women
,,,,Love,TEDx
,,,,Love,Technology
,,,,Love,Storytelling
,,,,Love,Self
,,,,Love,Science
,,,,Love,Religion
,,,,Love,Politics
,,,,Love,Parenting
,,,,Love,Global issues
,,,,Love,Entertainment
,,,,Love,Education
,,,,Love,Design
,,,,Love,Data
,,,,Love,Culture
,,,,Love,Children
,,,,Global issues,Love
,,,,Entertainment,Love
,,,,Education,Love
,,,,Design,Love
,,,,Data,Love
,,,,Culture,Love
,,,,Children,Love
,,,,Love,Life
,,,,Life,Love
,,,,Social change,Love
,,,,Love,Social change
,,,,Media,Love
,,,,Love,Media
,,,,Love,Humanity
,,,,Humanity,Love
,,,,Love,Creativity
,,,,Creativity,Love
,,,,Social media,Love
,,,,Love,Social media
,,,,Love,Inequality
,,,,Inequality,Love
,,,,Society,Love
,,,,Love,Society
,,,,Love,Food
,,,,Food,Love
,,,,Love,Evolution
,,,,Evolution,Love
,,,,World cultures,Love
,,,,Love,World cultures
,,,,Love,Humor
,,,,Humor,Love
,,,,Love,LGBT
,,,,LGBT,Love
,,,,Love,Brain
,,,,Brain,Love
,,,,Psychology,Love
,,,,Love,Psychology
,,,,Sociology,Love
,,,,Love,Sociology
,,,,Love,Happiness
,,,,Happiness,Love
,,,,Violence,Love
,,,,Love,Violence
,,,,Personal growth,Love
,,,,Love,Personal growth
,,,,Performance,Love
,,,,Love,Performance
,,,,Writing,Love
,,,,Love,Writing
,,,,Love,Death
,,,,Death,Love
,,,,Love,Cognitive science
,,,,Cognitive science,Love
,,,,Physics,Love
,,,,Love,Physics
,,,,Yesallwomen,Love
,,,,Love,Yesallwomen
,,,,Sex,Love
,,,,Love,Sex
,,,,Music,Love
,,,,Love,Music
,,,,Love,Arts
,,,,Arts,Love
,,,,Love,Latin America
,,,,Latin America,Love
,,,,Poetry,Love
,,,,Love,Poetry
,,,,Relationships,Love
,,,,Love,Relationships
,,,,Love,Gender
,,,,Gender,Love
,,,,Love,Art
,,,,Art,Love
,,,,Love,Anthropology
,,,,Anthropology,Love
,,,,Love,Animals
,,,,Animals,Love
,,,,Love,Algorithm
,,,,Algorithm,Love
,,,,Writing,Complexity
,,,,Web,Complexity
,,,,Visualizations,Complexity
,,,,Universe,Complexity
,,,,Trees,Complexity
,,,,TEDx,Complexity
,,,,Technology,Complexity
,,,,Social change,Complexity
,,,,Science,Complexity
,,,,Physics,Complexity
,,,,Nature,Complexity
,,,,Math,Complexity
,,,,MacArthur grant,Complexity
,,,,Leadership,Complexity
,,,,Inequality,Complexity
,,,,History,Complexity
,,,,Global issues,Complexity
,,,,Future,Complexity
,,,,Engineering,Complexity
,,,,Economics,Complexity
,,,,DNA,Complexity
,,,,Design,Complexity
,,,,Data,Complexity
,,,,Computers,Complexity
,,,,Complexity,Writing
,,,,Complexity,Web
,,,,Complexity,Visualizations
,,,,Complexity,Universe
,,,,Complexity,Trees
,,,,Complexity,TEDx
,,,,Complexity,Technology
,,,,Complexity,Social change
,,,,Complexity,Science
,,,,Complexity,Physics
,,,,Complexity,Nature
,,,,Complexity,Math
,,,,Complexity,MacArthur grant
,,,,Complexity,Leadership
,,,,Complexity,Inequality
,,,,Complexity,History
,,,,Complexity,Global issues
,,,,Complexity,Future
,,,,Complexity,Engineering
,,,,Complexity,Economics
,,,,Complexity,DNA
,,,,Complexity,Design
,,,,Complexity,Data
,,,,Complexity,Computers
,,,,Complexity,Communication
,,,,Complexity,Climate change
,,,,Complexity,Cities
,,,,Complexity,Business
,,,,Complexity,Brain
,,,,Complexity,Biology
,,,,Communication,Complexity
,,,,Climate change,Complexity
,,,,Cities,Complexity
,,,,Business,Complexity
,,,,Brain,Complexity
,,,,Biology,Complexity
,,,,Exploration,Complexity
,,,,Complexity,Exploration
,,,,Complexity,Arts
,,,,Arts,Complexity
,,,,TED Fellows,Complexity
,,,,Complexity,TED Fellows
,,,,Complexity,Animals
,,,,Animals,Complexity
,,,,Complexity,Algorithm
,,,,Algorithm,Complexity
,,,,Visualizations,Math
,,,,Math,Visualizations
,,,,Statistics,Math
,,,,Math,Statistics
,,,,Presentation,Math
,,,,Math,Presentation
,,,,Youth,Math
,,,,War,Math
,,,,TEDx,Math
,,,,TED Prize,Math
,,,,Technology,Math
,,,,Sustainability,Math
,,,,Storytelling,Math
,,,,Science,Math
,,,,Politics,Math
,,,,Oceans,Math
,,,,Medicine,Math
,,,,Math,Youth
,,,,Math,War
,,,,Math,TEDx
,,,,Math,TED Prize
,,,,Math,Technology
,,,,Math,Sustainability
,,,,Math,Storytelling
,,,,Math,Science
,,,,Math,Politics
,,,,Math,Oceans
,,,,Math,Medicine
,,,,Math,Innovation
,,,,Math,Global issues
,,,,Math,Entertainment
,,,,Math,Engineering
,,,,Math,Design
,,,,Math,Data
,,,,Math,Culture
,,,,Math,Computers
,,,,Innovation,Math
,,,,Global issues,Math
,,,,Entertainment,Math
,,,,Engineering,Math
,,,,Design,Math
,,,,Data,Math
,,,,Culture,Math
,,,,Computers,Math
,,,,Math,Education
,,,,Education,Math
,,,,Math,Children
,,,,Children,Math
,,,,Math,Cities
,,,,Cities,Math
,,,,Math,Economics
,,,,Economics,Math
,,,,Math,Business
,,,,Business,Math
,,,,Math,Inequality
,,,,Inequality,Math
,,,,Society,Math
,,,,Math,Society
,,,,Math,Evolution
,,,,Evolution,Math
,,,,Math,Disease
,,,,Disease,Math
,,,,Math,History
,,,,History,Math
,,,,Math,Humor
,,,,Humor,Math
,,,,Math,Dance
,,,,Dance,Math
,,,,Performance,Math
,,,,Math,Performance
,,,,Sports,Math
,,,,Math,Sports
,,,,Math,Biology
,,,,Biology,Math
,,,,Math,Climate change
,,,,Climate change,Math
,,,,Math,Marketing
,,,,Marketing,Math
,,,,Physics,Math
,,,,Math,Physics
,,,,Math,MacArthur grant
,,,,MacArthur grant,Math
,,,,Universe,Math
,,,,Math,Universe
,,,,Space,Math
,,,,Math,Space
,,,,Music,Math
,,,,Math,Music
,,,,Math,Arts
,,,,Arts,Math
,,,,TED Fellows,Math
,,,,Math,TED Fellows
,,,,Math,Beauty
,,,,Beauty,Math
,,,,Math,Art
,,,,Art,Math
,,,,Math,Gaming
,,,,Gaming,Math
,,,,Math,Architecture
,,,,Architecture,Math
,,,,Math,Africa
,,,,Africa,Math
,,,,Solar energy,Math
,,,,Math,Solar energy
,,,,Math,Alternative energy
,,,,Alternative energy,Math
,,,,Math,Algorithm
,,,,Algorithm,Math
,,,,Toy,Rocket science
,,,,Technology,Rocket science
,,,,Storytelling,Rocket science
,,,,Space,Rocket science
,,,,Science,Rocket science
,,,,Rocket science,Toy
,,,,Rocket science,Technology
,,,,Rocket science,Storytelling
,,,,Rocket science,Space
,,,,Rocket science,Science
,,,,Rocket science,Planets
,,,,Rocket science,Physics
,,,,Rocket science,Photography
,,,,Rocket science,Parenting
,,,,Rocket science,NASA
,,,,Rocket science,Invention
,,,,Rocket science,Industrial design
,,,,Rocket science,History
,,,,Rocket science,Future
,,,,Rocket science,Flight
,,,,Rocket science,Entrepreneur
,,,,Rocket science,Entertainment
,,,,Rocket science,Engineering
,,,,Rocket science,Design
,,,,Rocket science,Children
,,,,Rocket science,Business
,,,,Planets,Rocket science
,,,,Physics,Rocket science
,,,,Photography,Rocket science
,,,,Parenting,Rocket science
,,,,NASA,Rocket science
,,,,Invention,Rocket science
,,,,Industrial design,Rocket science
,,,,History,Rocket science
,,,,Future,Rocket science
,,,,Flight,Rocket science
,,,,Entrepreneur,Rocket science
,,,,Entertainment,Rocket science
,,,,Engineering,Rocket science
,,,,Design,Rocket science
,,,,Children,Rocket science
,,,,Business,Rocket science
,,,,Rocket science,Aircraft
,,,,Aircraft,Rocket science
,,,,Third world,Industrial design
,,,,TED Fellows,Industrial design
,,,,Technology,Industrial design
,,,,Sustainability,Industrial design
,,,,Social change,Industrial design
,,,,Science,Industrial design
,,,,Robots,Industrial design
,,,,Nature,Industrial design
,,,,MacArthur grant,Industrial design
,,,,Invention,Industrial design
,,,,Innovation,Industrial design
,,,,Industrial design,Third world
,,,,Industrial design,TED Fellows
,,,,Industrial design,Technology
,,,,Industrial design,Sustainability
,,,,Industrial design,Social change
,,,,Industrial design,Science
,,,,Industrial design,Robots
,,,,Industrial design,Nature
,,,,Industrial design,MacArthur grant
,,,,Industrial design,Invention
,,,,Industrial design,Innovation
,,,,Industrial design,Global issues
,,,,Industrial design,Food
,,,,Industrial design,Flight
,,,,Industrial design,Entrepreneur
,,,,Industrial design,Engineering
,,,,Industrial design,Education
,,,,Industrial design,Economics
,,,,Industrial design,DNA
,,,,Industrial design,Development
,,,,Industrial design,Design
,,,,Industrial design,Creativity
,,,,Industrial design,Business
,,,,Industrial design,Biology
,,,,Industrial design,Arts
,,,,Global issues,Industrial design
,,,,Food,Industrial design
,,,,Flight,Industrial design
,,,,Entrepreneur,Industrial design
,,,,Engineering,Industrial design
,,,,Education,Industrial design
,,,,Economics,Industrial design
,,,,DNA,Industrial design
,,,,Development,Industrial design
,,,,Design,Industrial design
,,,,Creativity,Industrial design
,,,,Business,Industrial design
,,,,Biology,Industrial design
,,,,Arts,Industrial design
,,,,NASA,Industrial design
,,,,Industrial design,NASA
,,,,Toy,Industrial design
,,,,Industrial design,Toy
,,,,Industrial design,Alternative energy
,,,,Alternative energy,Industrial design
,,,,Industrial design,Aircraft
,,,,Aircraft,Industrial design
,,,,Memory,Interview
,,,,Interview,Memory
,,,,Interview,Death
,,,,Death,Interview
